Субъект №;Пол;Образование;Доход месяц 1;Доход месяц 2;Доход месяц 3;Доход месяц 4;Доход месяц 5;Доход месяц 6
1;Мужской;Среднее;40000;60000;10000;40000;30000;50000
2;Мужской;Среднее;30000;60000;10000;;40000;20000
3;Мужской;Высшее;40000;60000;20000;40000;40000;30000
4;Мужской;Высшее;30000;60000;10000;50000;40000;40000
5;Женский;Среднее;40000;40000;20000;70000;30000;40000
6;Женский;Среднее;;60000;20000;60000;30000;40000
7;Мужской;Высшее;30000;60000;10000;40000;40000;30000
8;Женский;Высшее;20000;60000;20000;50000;40000;60000
9;Мужской;Высшее;40000;50000;10000;40000;30000;20000
10;Мужской;Высшее;30000;;10000;40000;;20000
11;Мужской;Среднее;40000;60000;20000;70000;40000;40000
12;Женский;Среднее;20000;60000;20000;40000;30000;60000
13;Женский;Среднее;30000;60000;20000;50000;30000;50000
14;Женский;Среднее;;60000;10000;40000;40000;40000
15;Женский;Среднее;40000;40000;10000;70000;30000;50000
16;Мужской;Среднее;30000;60000;20000;;30000;20000
17;Женский;Среднее;20000;40000;20000;70000;30000;40000
18;Мужской;Высшее;30000;50000;20000;70000;30000;50000
19;Женский;Среднее;30000;50000;10000;60000;40000;20000
20;Женский;Среднее;20000;40000;10000;70000;30000;50000
21;Мужской;Среднее;20000;60000;10000;60000;30000;60000
22;Мужской;Высшее;20000;40000;10000;40000;30000;40000
23;Женский;Высшее;20000;40000;20000;70000;40000;30000
24;Мужской;Высшее;20000;40000;20000;40000;30000;30000
25;Мужской;Среднее;20000;50000;20000;60000;30000;50000
26;Мужской;Среднее;40000;50000;10000;50000;30000;60000
27;Женский;Среднее;40000;60000;10000;50000;30000;50000
28;Мужской;Среднее;;40000;20000;60000;30000;20000
29;Женский;Высшее;30000;60000;20000;60000;30000;30000
30;Женский;Учёная степень;20000;40000;20000;;40000;
31;Мужской;Высшее;20000;60000;10000;50000;30000;20000
32;Мужской;Высшее;40000;40000;10000;50000;40000;40000
33;Женский;Среднее;40000;50000;20000;50000;40000;50000
34;Женский;Среднее;40000;40000;20000;50000;40000;30000
35;Женский;Среднее;20000;40000;10000;50000;40000;40000
36;Мужской;Высшее;30000;50000;10000;40000;40000;20000
37;Мужской;Среднее;20000;50000;20000;50000;40000;40000
38;Мужской;Среднее;40000;40000;20000;60000;40000;60000
39;Женский;Среднее;20000;60000;10000;40000;30000;60000
40;Женский;Среднее;;60000;20000;50000;40000;20000
41;Мужской;Высшее;40000;40000;20000;60000;30000;40000
42;Мужской;Высшее;40000;60000;20000;40000;40000;40000
43;Мужской;Высшее;30000;60000;20000;70000;30000;20000
44;Женский;Учёная степень;40000;50000;10000;40000;;30000
45;Женский;Среднее;30000;;20000;50000;30000;30000
46;Мужской;Среднее;20000;40000;20000;60000;40000;50000
47;Женский;Высшее;30000;50000;10000;40000;40000;50000
48;Мужской;Учёная степень;;50000;20000;70000;30000;30000
49;Женский;Учёная степень;20000;60000;10000;60000;;60000
50;Женский;Высшее;30000;40000;10000;60000;40000;30000
51;Женский;Среднее;30000;50000;20000;60000;40000;60000
52;Мужской;Среднее;20000;50000;10000;60000;40000;30000
53;Женский;Высшее;20000;60000;10000;70000;40000;30000
54;Женский;Среднее;30000;50000;10000;50000;30000;60000
55;Мужской;Среднее;30000;50000;20000;40000;30000;60000
56;Мужской;Высшее;;50000;20000;70000;30000;40000
57;Женский;Среднее;40000;60000;20000;50000;30000;40000
58;Мужской;Среднее;20000;50000;20000;;30000;50000
59;Женский;Среднее;40000;40000;10000;50000;30000;40000
60;Женский;Среднее;30000;40000;10000;40000;40000;40000
61;Женский;Учёная степень;;60000;20000;70000;30000;60000
62;Мужской;Среднее;20000;60000;20000;50000;30000;
63;Женский;Среднее;30000;60000;20000;40000;40000;50000
64;Женский;Среднее;40000;40000;20000;50000;30000;50000
65;Мужской;Среднее;30000;60000;10000;60000;30000;20000
66;Мужской;Среднее;20000;;20000;50000;30000;30000
67;Женский;Высшее;40000;40000;10000;70000;30000;40000
68;Мужской;Среднее;40000;60000;20000;50000;30000;60000
69;Мужской;Высшее;40000;60000;10000;40000;40000;20000
70;Женский;Высшее;20000;40000;20000;60000;40000;20000
71;Женский;Среднее;20000;60000;10000;40000;40000;30000
72;Мужской;Высшее;20000;60000;20000;50000;40000;30000
73;Мужской;Среднее;40000;40000;10000;40000;;50000
74;Мужской;Высшее;30000;60000;20000;70000;30000;20000
75;Женский;Среднее;30000;40000;20000;70000;40000;30000
76;Мужской;Среднее;20000;50000;20000;70000;30000;60000
77;Женский;Среднее;40000;40000;20000;60000;40000;60000
78;Мужской;Среднее;40000;60000;10000;50000;40000;50000
79;Женский;Высшее;20000;50000;10000;60000;30000;40000
80;Женский;Среднее;30000;60000;20000;70000;30000;30000
81;Мужской;Высшее;20000;60000;10000;50000;30000;50000
82;Женский;Среднее;40000;;20000;50000;30000;50000
83;Женский;Учёная степень;20000;60000;10000;40000;40000;30000
84;Женский;Среднее;40000;40000;20000;50000;40000;50000
85;Женский;Среднее;20000;40000;20000;60000;40000;20000
86;Женский;Среднее;20000;40000;10000;40000;30000;50000
87;Женский;Высшее;40000;60000;20000;60000;40000;30000
88;Мужской;Высшее;40000;40000;10000;;40000;30000
89;Женский;Высшее;20000;40000;10000;50000;30000;60000
90;Женский;Учёная степень;20000;60000;20000;50000;30000;
91;Женский;Высшее;20000;50000;20000;60000;30000;30000
92;Мужской;Высшее;30000;40000;20000;50000;30000;20000
93;Женский;Среднее;40000;40000;20000;60000;40000;50000
94;Мужской;Среднее;40000;60000;10000;70000;40000;30000
95;Женский;Высшее;;40000;20000;50000;30000;30000
96;Женский;Высшее;40000;50000;20000;50000;30000;30000
97;Женский;Высшее;30000;60000;10000;60000;40000;
98;Женский;Учёная степень;30000;;10000;40000;30000;20000
99;Мужской;Среднее;30000;50000;10000;70000;40000;40000
100;Женский;Учёная степень;20000;50000;10000;60000;30000;60000
101;Мужской;Среднее;20000;40000;10000;70000;30000;40000
102;Мужской;Учёная степень;30000;40000;10000;70000;40000;20000
103;Мужской;Среднее;40000;50000;;50000;30000;20000
104;Мужской;Среднее;30000;50000;20000;70000;40000;50000
105;Женский;Высшее;40000;60000;10000;70000;30000;60000
106;Мужской;Высшее;30000;50000;10000;40000;30000;50000
107;Мужской;Учёная степень;20000;60000;20000;40000;40000;
108;Мужской;Среднее;30000;60000;20000;70000;30000;40000
109;Мужской;Высшее;40000;50000;20000;70000;30000;40000
110;Мужской;Высшее;40000;50000;10000;;40000;40000
111;Женский;Среднее;20000;50000;20000;60000;30000;60000
112;Мужской;Среднее;20000;50000;10000;40000;30000;30000
113;Мужской;Среднее;20000;50000;20000;40000;30000;50000
114;Мужской;Среднее;30000;50000;20000;60000;40000;60000
115;Женский;Среднее;20000;50000;20000;40000;30000;60000
116;Женский;Среднее;30000;40000;20000;70000;30000;30000
117;Мужской;Среднее;20000;40000;10000;50000;30000;20000
118;Мужской;Высшее;40000;50000;20000;60000;30000;60000
119;Мужской;Среднее;20000;;20000;50000;30000;40000
120;Мужской;Среднее;20000;40000;20000;50000;30000;20000
121;Женский;Среднее;30000;50000;10000;50000;30000;40000
122;Женский;Высшее;40000;60000;10000;;40000;30000
123;Женский;Высшее;40000;50000;20000;50000;40000;50000
124;Мужской;Высшее;40000;60000;10000;50000;40000;20000
125;Женский;Среднее;40000;60000;20000;60000;30000;30000
126;Женский;Среднее;20000;40000;20000;40000;40000;60000
127;Мужской;Учёная степень;20000;40000;20000;70000;30000;40000
